GuidID,ObjectExtendedPermission,ObjectType
'68b1d179-0d15-4d4f-ab71-46152e79a7bc',DS-Replication-Get-Changes,configurationObject
'ab721a56-1e2f-11d0-9819-00aa0040529b',DS-Replication-Get-Changes-All,configurationObject
'ab721a54-1e2f-11d0-9819-00aa0040529b',DS-Replication-Manage-Topology,configurationObject
'ab721a53-1e2f-11d0-9819-00aa0040529b',DS-Replication-Monitor-Topology,configurationObject
'00299570-246d-11d0-a768-00aa006e0529',DS-Replication-Synchronize,configurationObject
'ab721a54-1e2f-11d0-9819-00aa0040529b',Generate-RSoP-Logging,configurationObject
'ab721a53-1e2f-11d0-9819-00aa0040529b',Generate-RSoP-Planning,configurationObject
'00299570-246d-11d0-a768-00aa006e0529',Reanimate-Tombstones,configurationObject
'014bf69c-7b3b-11d1-85f6-08002be74fab',Change-Domain-Master,crossRefContainer Object
'2f16c4a5-b98e-432c-952a-cb388ba33f2e',DS-Execute-Intentions-Script,crossRefContainer Object
'e12b56b6-0a95-11d1-adbb-00c04fd8d5cd',Change-Schema-Master,dMD Object
'1131f6aa-9c07-11d1-f79f-00c04fc2dcd2',DS-Replication-Get-Changes,dMD Object
'1131f6ad-9c07-11d1-f79f-00c04fc2dcd2',DS-Replication-Get-Changes-All,dMD Object
'f98340fb-7c5b-4cdb-a00b-2ebdfa115a96',DS-Replication-Manage-Topology,dMD Object
'f98340fb-7c5b-4cdb-a00b-2ebdfa115a96',DS-Replication-Monitor-Topology,dMD Object
'1131f6ab-9c07-11d1-f79f-00c04fc2dcd2',DS-Replication-Synchronize,dMD Object
'b7b1b3de-ab09-4242-9e30-9980e5d322f7',Generate-RSoP-Logging,dMD Object
'b7b1b3dd-ab09-4242-9e30-9980e5d322f7',Generate-RSoP-Planning,dMD Object
'45ec5156-db7e-47bb-b53f-dbeb2d03c40f',Reanimate-Tombstones,dMD Object
'be2bb760-7f46-11d2-b9ad-00c04f79f805',Update-Schema-Cache,dMD Object
'440820ad-65b4-11d1-a3da-0000f875ae0d',Add-GUID,domainDNS Object
'bae50096-4752-11d1-9052-00c04fc2d4cf',Change-PDC,domainDNS Object
'e2a36dc9-ae17-47c3-b58b-be34c55ba633',Create-Inbound-Forest-Trust,domainDNS Object
'9923a32a-3607-11d2-b9be-0000f87a36b2',DS-Install-Replica,domainDNS Object
'1131f6aa-9c07-11d1-f79f-00c04fc2dcd2',DS-Replication-Get-Changes,domainDNS Object
'1131f6ad-9c07-11d1-f79f-00c04fc2dcd2',DS-Replication-Get-Changes-All,domainDNS Object
'1131f6ac-9c07-11d1-f79f-00c04fc2dcd2',DS-Replication-Manage-Topology,domainDNS Object
'f98340fb-7c5b-4cdb-a00b-2ebdfa115a96',DS-Replication-Monitor-Topology,domainDNS Object
'1131f6ab-9c07-11d1-f79f-00c04fc2dcd2',DS-Replication-Synchronize,domainDNS Object
'05c74c5e-4deb-43b4-bd9f-86664c2a7fd5',Enable-Per-User-Reversibly-Encrypted-Password,domainDNS Object
'b7b1b3de-ab09-4242-9e30-9980e5d322f7',Generate-RSoP-Logging,domainDNS Object
'b7b1b3dd-ab09-4242-9e30-9980e5d322f7',Generate-RSoP-Planning,domainDNS Object
'ba33815a-4f93-4c76-87f3-57574bff8109',Migrate-SID-History,domainDNS Object
'45ec5156-db7e-47bb-b53f-dbeb2d03c40f',Reanimate-Tombstones,domainDNS Object
'ccc2dc7d-a6ad-4a7a-8846-c04e3cc53501',Unexpire-Password,domainDNS Object
'280f369c-67c7-438e-ae98-1d46f3c6f541',Update-Password-Not-Required-Bit,domainDNS Object
'ab721a55-1e2f-11d0-9819-00aa0040529b',Send-To,group Object
'edacfd8f-ffb3-11d1-b41d-00a0c968f939',Apply-Group-Policy,groupPolicyContainer Object
'68b1d179-0d15-4d4f-ab71-46152e79a7bc',Allowed-To-Authenticate,inetOrgPerson Object
'ab721a56-1e2f-11d0-9819-00aa0040529b',Receive-As,inetOrgPerson Object
'ab721a54-1e2f-11d0-9819-00aa0040529b',Send-As,inetOrgPerson Object
'ab721a53-1e2f-11d0-9819-00aa0040529b',User-Change-Password,inetOrgPerson Object
'00299570-246d-11d0-a768-00aa006e0529',User-Force-Change-Password,inetOrgPerson Object
'cc17b1fb-33d9-11d2-97d4-00c04fd8d5cd',Change-Infrastructure-Master,infrastructureUpdate Object
'ab721a52-1e2f-11d0-9819-00aa0040529b',Domain-Administer-Server,infrastructureUpdate Object
'4ecc03fe-ffc0-4947-b630-eb672a8a9dbc',DS-Query-Self-Quota,msDS-QuotaContainer Object
'4b6e08c3-df3c-11d1-9c86-006008764d0e',msmq-Peek-computer-Journal,mSMQConfiguration Object
'4b6e08c1-df3c-11d1-9c86-006008764d0e',msmq-Peek-Dead-Letter,mSMQConfiguration Object
'4b6e08c2-df3c-11d1-9c86-006008764d0e',msmq-Receive-computer-Journal,mSMQConfiguration Object
'4b6e08c0-df3c-11d1-9c86-006008764d0e',msmq-Receive-Dead-Letter,mSMQConfiguration Object
'06bd3201-df3e-11d1-9c86-006008764d0e',msmq-Peek,mSMQQueue Object
'06bd3200-df3e-11d1-9c86-006008764d0e',msmq-Receive,mSMQQueue Object
'06bd3203-df3e-11d1-9c86-006008764d0e',msmq-Receive-journal,mSMQQueue Object
'06bd3202-df3e-11d1-9c86-006008764d0e',msmq-Send,mSMQQueue Object
'ee914b82-0a98-11d1-adbb-00c04fd8d5cd',Abandon-Replication,ntdsDSA Object
'1abd7cf8-0a99-11d1-adbb-00c04fd8d5cd',Allocate-Rids,ntdsDSA Object
'fec364e0-0a98-11d1-adbb-00c04fd8d5cd',Do-Garbage-Collection,ntdsDSA Object
'69ae6200-7f46-11d2-b9ad-00c04f79f805',DS-Check-Stale-Phantoms,ntdsDSA Object
'0bc1554e-0a99-11d1-adbb-00c04fd8d5cd',Recalculate-Hierarchy,ntdsDSA Object
'62dd28a8-7f46-11d2-b9ad-00c04f79f805',Recalculate-Security-Inheritance,ntdsDSA Object
'9432c620-033c-4db7-8b58-14ef6d0bf477',Refresh-Group-Cache,ntdsDSA Object
'05c74c5e-4deb-43b4-bd9f-86664c2a7fd5',Enable-Per-User-Reversibly-Encrypted-Password,rganizationalUnit Object
'0e10c968-78fb-11d2-90d4-00c04f79dc55',Certificate-Enrollment,pkiCertificateTemplate Object
'd58d5f36-0a98-11d1-adbb-00c04fd8d5cd',Change-Rid-Master,rIDManager Object
'91d67418-0135-4acc-8d79-c08e857cfbec',SAM-Enumerate-Entire-Domain,samServer Object
'b4e60130-df3f-11d1-9c86-006008764d0e',msmq-Open-Connector,site Object
'68b1d179-0d15-4d4f-ab71-46152e79a7bc',Allowed-To-Authenticate,user Object
'ab721a56-1e2f-11d0-9819-00aa0040529b',Receive-As,user Object Exchange
'ab721a54-1e2f-11d0-9819-00aa0040529b',Send as,user Object Exchange 
'ab721a53-1e2f-11d0-9819-00aa0040529b',User Change Password,user Object
'00299570-246d-11d0-a768-00aa006e0529',User-Force Change-Password,user Object
'0',,
